event_id,user_id,event_type,product_id,amount,currency,event_time,processing_time,session_id,store_id
EVT001,U001,purchase,P101,120.50,AUD,2024-01-15 09:01:00,2024-01-15 09:01:05,S001,STR01
EVT002,U002,purchase,P103,199.00,AUD,2024-01-15 09:03:00,2024-01-15 09:03:08,S002,STR02
EVT003,U001,page_view,P105,0.00,AUD,2024-01-15 09:04:00,2024-01-15 09:04:02,S001,STR01
EVT004,U003,purchase,P102,85.00,AUD,2024-01-15 09:05:00,2024-01-15 09:05:10,S003,STR03
EVT005,U002,purchase,P108,89.00,AUD,2024-01-15 09:07:00,2024-01-15 09:07:03,S002,STR02
EVT006,U004,purchase,P104,45.00,AUD,2024-01-15 09:08:00,2024-01-15 09:08:15,S004,STR01
EVT007,U001,purchase,P106,60.00,AUD,2024-01-15 09:10:00,2024-01-15 09:18:00,S001,STR01
EVT008,U005,purchase,P109,65.00,AUD,2024-01-15 09:11:00,2024-01-15 09:11:20,S005,STR04
EVT009,U003,page_view,P101,0.00,AUD,2024-01-15 09:12:00,2024-01-15 09:12:05,S003,STR03
EVT010,U006,purchase,P107,75.00,AUD,2024-01-15 09:13:00,2024-01-15 09:13:11,S006,STR02
EVT011,U004,purchase,P103,199.00,AUD,2024-01-15 09:15:00,2024-01-15 09:15:09,S004,STR01
EVT012,U007,purchase,P101,120.50,AUD,2024-01-15 09:16:00,2024-01-15 09:16:04,S007,STR05
EVT013,U002,page_view,P106,0.00,AUD,2024-01-15 09:17:00,2024-01-15 09:17:02,S002,STR02
EVT014,U008,purchase,P102,85.00,AUD,2024-01-15 09:18:00,2024-01-15 09:18:30,S008,STR03
EVT015,U001,purchase,P108,89.00,AUD,2024-01-15 09:04:30,2024-01-15 09:20:00,S001,STR01
EVT016,U009,purchase,P105,35.00,AUD,2024-01-15 09:21:00,2024-01-15 09:21:07,S009,STR04
EVT017,U010,purchase,P109,65.00,AUD,2024-01-15 09:22:00,2024-01-15 09:22:12,S010,STR05
EVT018,U003,purchase,P104,45.00,AUD,2024-01-15 09:23:00,2024-01-15 09:23:03,S003,STR03
EVT019,U006,purchase,P106,60.00,AUD,2024-01-15 09:24:00,2024-01-15 09:24:08,S006,STR02
EVT020,U005,purchase,P103,199.00,AUD,2024-01-15 09:08:45,2024-01-15 09:26:00,S005,STR04
EVT021,U011,purchase,P107,75.00,AUD,2024-01-15 09:27:00,2024-01-15 09:27:05,S011,STR01
EVT022,U012,purchase,P101,120.50,AUD,2024-01-15 09:28:00,2024-01-15 09:28:14,S012,STR02
EVT023,U007,page_view,P102,0.00,AUD,2024-01-15 09:29:00,2024-01-15 09:29:02,S007,STR05
EVT024,U013,purchase,P108,89.00,AUD,2024-01-15 09:30:00,2024-01-15 09:30:09,S013,STR03
EVT025,U004,purchase,P109,65.00,AUD,2024-01-15 09:31:00,2024-01-15 09:31:06,S004,STR01
EVT026,U014,purchase,P102,85.00,AUD,2024-01-15 09:32:00,2024-01-15 09:32:11,S014,STR04
EVT027,U001,purchase,P104,45.00,AUD,2024-01-15 09:33:00,2024-01-15 09:33:04,S001,STR01
EVT028,U015,purchase,P105,35.00,AUD,2024-01-15 09:34:00,2024-01-15 09:34:07,S015,STR05
EVT029,U008,purchase,P106,60.00,AUD,2024-01-15 09:35:00,2024-01-15 09:35:13,S008,STR03
EVT030,U002,purchase,P107,75.00,AUD,2024-01-15 09:36:00,2024-01-15 09:36:05,S002,STR02
