order_id,customer_id,product_id,store_id,region,amount,quantity,status,order_date,category
ORD001,C001,P101,STR01,NSW,120.50,1,completed,2024-01-15,Electronics
ORD002,C002,P103,STR02,VIC,199.00,1,completed,2024-01-15,Appliances
ORD003,C003,P102,STR03,QLD,170.00,2,completed,2024-01-15,Apparel
ORD004,C004,P104,STR01,NSW,45.00,1,pending,2024-01-15,Sports
ORD005,C005,P108,STR04,WA,89.00,1,completed,2024-01-15,Electronics
ORD006,C006,P106,STR02,VIC,120.00,2,completed,2024-01-15,Health
ORD007,C007,P107,STR05,SA,75.00,1,refunded,2024-01-15,Apparel
ORD008,C008,P101,STR01,NSW,241.00,2,completed,2024-01-15,Electronics
ORD009,C009,P109,STR03,QLD,65.00,1,completed,2024-01-15,Apparel
ORD010,C010,P105,STR02,VIC,35.00,1,cancelled,2024-01-15,Home
ORD011,C001,P103,STR01,NSW,199.00,1,completed,2024-01-16,Appliances
ORD012,C002,P102,STR02,VIC,85.00,1,completed,2024-01-16,Apparel
ORD013,C003,P108,STR03,QLD,89.00,1,completed,2024-01-16,Electronics
ORD014,C004,P106,STR04,WA,60.00,1,pending,2024-01-16,Health
ORD015,C005,P104,STR05,SA,90.00,2,completed,2024-01-16,Sports
ORD016,C006,P107,STR01,NSW,75.00,1,completed,2024-01-16,Apparel
ORD017,C007,P101,STR02,VIC,120.50,1,completed,2024-01-16,Electronics
ORD018,C008,P109,STR03,QLD,65.00,1,refunded,2024-01-16,Apparel
ORD019,C009,P105,STR04,WA,35.00,1,completed,2024-01-16,Home
ORD020,C010,P103,STR05,SA,199.00,1,completed,2024-01-16,Appliances
ORD021,C001,P108,STR01,NSW,89.00,1,completed,2024-01-17,Electronics
ORD022,C002,P104,STR02,VIC,45.00,1,completed,2024-01-17,Sports
ORD023,C003,P106,STR03,QLD,60.00,1,completed,2024-01-17,Health
ORD024,C004,P107,STR04,WA,75.00,1,pending,2024-01-17,Apparel
ORD025,C005,P101,STR05,SA,120.50,1,completed,2024-01-17,Electronics
ORD026,C006,P102,STR01,NSW,255.00,3,completed,2024-01-17,Apparel
ORD027,C007,P109,STR02,VIC,65.00,1,cancelled,2024-01-17,Apparel
ORD028,C008,P105,STR03,QLD,35.00,1,completed,2024-01-17,Home
ORD029,C009,P103,STR04,WA,199.00,1,completed,2024-01-17,Appliances
ORD030,C010,P108,STR05,SA,178.00,2,completed,2024-01-17,Electronics
ORD031,C001,P101,STR01,NSW,120.50,1,completed,2024-01-18,Electronics
ORD032,C002,P106,STR02,VIC,60.00,1,completed,2024-01-18,Health
ORD033,C003,P104,STR03,QLD,45.00,1,completed,2024-01-18,Sports
ORD034,C004,P102,STR04,WA,85.00,1,pending,2024-01-18,Apparel
ORD035,C005,P107,STR05,SA,75.00,1,completed,2024-01-18,Apparel
ORD036,C006,P109,STR01,NSW,130.00,2,completed,2024-01-18,Apparel
ORD037,C007,P103,STR02,VIC,199.00,1,completed,2024-01-18,Appliances
ORD038,C008,P108,STR03,QLD,89.00,1,refunded,2024-01-18,Electronics
ORD039,C009,P105,STR04,WA,35.00,1,completed,2024-01-18,Home
ORD040,C010,P101,STR05,SA,120.50,1,completed,2024-01-18,Electronics
