session_id,charger_id,vehicle_id,start_time,end_time,duration_minutes,energy_kwh,cost_inr,status,location_id,location_name,connector_type,customer_id
sess_S001,CHG_001,VEH_A001,2026-01-15 08:00:00,2026-01-15 08:45:00,45,11.25,56.25,completed,LOC_BLR_01,Koramangala Hub,CCS2,CUST_001
sess_S002,CHG_002,VEH_A002,2026-01-15 08:10:00,2026-01-15 09:05:00,55,13.75,68.75,completed,LOC_BLR_01,Koramangala Hub,Type2,CUST_002
sess_S003,CHG_003,VEH_A003,2026-01-15 09:00:00,2026-01-15 09:30:00,30,7.50,37.50,completed,LOC_BLR_02,Whitefield Depot,CHAdeMO,CUST_003
sess_S004,CHG_001,VEH_A004,2026-01-15 09:30:00,2026-01-15 10:30:00,60,15.00,75.00,completed,LOC_BLR_01,Koramangala Hub,CCS2,CUST_004
sess_S005,CHG_004,VEH_A005,2026-01-15 10:00:00,2026-01-15 10:15:00,15,3.75,18.75,completed,LOC_MUM_01,Andheri Station,Type2,CUST_005
sess_S006,CHG_005,VEH_A006,2026-01-15 10:30:00,,0,0.00,0.00,failed,LOC_MUM_01,Andheri Station,CCS2,CUST_006
sess_S007,CHG_002,VEH_A007,2026-01-15 11:00:00,2026-01-15 12:00:00,60,15.00,75.00,completed,LOC_BLR_01,Koramangala Hub,Type2,CUST_007
sess_S008,CHG_006,VEH_A008,2026-01-15 11:30:00,2026-01-15 12:30:00,60,14.40,72.00,completed,LOC_HYD_01,Hitech City Plaza,CCS2,CUST_008
sess_S009,CHG_007,VEH_A009,2026-01-15 12:00:00,2026-01-15 12:45:00,45,11.25,56.25,completed,LOC_HYD_01,Hitech City Plaza,CHAdeMO,CUST_009
sess_S010,CHG_003,VEH_A010,2026-01-15 12:30:00,2026-01-15 13:30:00,60,15.00,75.00,completed,LOC_BLR_02,Whitefield Depot,CHAdeMO,CUST_010
sess_S011,CHG_008,VEH_A011,2026-01-15 13:00:00,2026-01-15 14:00:00,60,18.00,90.00,completed,LOC_DEL_01,Connaught Place Fast,CCS2,CUST_011
sess_S012,CHG_009,VEH_A012,2026-01-15 13:30:00,2026-01-15 14:15:00,45,10.80,54.00,completed,LOC_DEL_01,Connaught Place Fast,Type2,CUST_012
sess_S013,CHG_001,VEH_A013,2026-01-15 14:00:00,2026-01-15 15:00:00,60,15.00,75.00,completed,LOC_BLR_01,Koramangala Hub,CCS2,CUST_013
sess_S014,CHG_010,VEH_A014,2026-01-15 14:30:00,2026-01-15 14:50:00,20,5.00,25.00,completed,LOC_CHN_01,T Nagar Charging Bay,CCS2,CUST_014
sess_S015,CHG_004,VEH_A015,2026-01-15 15:00:00,2026-01-15 16:00:00,60,15.00,75.00,completed,LOC_MUM_01,Andheri Station,Type2,CUST_015
sess_S016,CHG_006,VEH_A016,2026-01-15 15:30:00,2026-01-15 16:30:00,60,14.40,72.00,completed,LOC_HYD_01,Hitech City Plaza,CCS2,CUST_016
sess_S017,CHG_011,VEH_A017,2026-01-15 16:00:00,2026-01-15 17:00:00,60,15.00,75.00,completed,LOC_PUN_01,Pune FC Road Hub,CCS2,CUST_017
sess_S018,CHG_002,VEH_A018,2026-01-15 16:30:00,2026-01-15 17:00:00,30,7.50,37.50,completed,LOC_BLR_01,Koramangala Hub,Type2,CUST_018
sess_S019,CHG_012,VEH_A019,2026-01-15 17:00:00,2026-01-15 18:00:00,60,18.00,90.00,completed,LOC_DEL_02,Dwarka Sector 12,CCS2,CUST_019
sess_S020,CHG_007,VEH_A020,2026-01-15 17:30:00,2026-01-15 18:30:00,60,14.40,72.00,completed,LOC_HYD_01,Hitech City Plaza,CHAdeMO,CUST_020
