shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,status
SH001,1001,FedEx,FX123456789,2024-01-15,2024-01-18,2024-01-17,8.50,delivered
SH002,1002,UPS,UP987654321,2024-01-15,2024-01-19,,6.00,in_transit
SH003,1003,FedEx,FX234567890,2024-01-15,2024-01-18,2024-01-18,12.00,delivered
SH004,1004,USPS,US345678901,2024-01-15,2024-01-20,2024-01-19,4.50,delivered
SH006,1006,UPS,UP456789012,2024-01-15,2024-01-19,2024-01-18,5.00,delivered
SH007,1007,FedEx,FX567890123,2024-01-15,2024-01-18,2024-01-17,10.00,delivered
SH008,1008,USPS,US678901234,2024-01-15,2024-01-21,,3.50,in_transit
SH009,1009,FedEx,FX789012345,2024-01-15,2024-01-19,2024-01-19,15.00,delivered
SH010,1010,UPS,UP890123456,2024-01-15,2024-01-20,2024-01-20,4.00,delivered
SH011,1011,FedEx,FX901234567,2024-01-16,2024-01-19,2024-01-18,9.00,delivered
SH012,1012,DHL,DH012345678,2024-01-16,2024-01-21,,18.00,in_transit
SH013,1013,USPS,US123456780,2024-01-16,2024-01-22,2024-01-21,3.50,delivered
SH014,1014,FedEx,FX234567801,2024-01-16,2024-01-19,,11.00,in_transit
SH015,1015,UPS,UP345678902,2024-01-16,2024-01-20,2024-01-20,5.50,delivered
SH016,1016,FedEx,FX456789013,2024-01-16,2024-01-19,2024-01-18,16.00,delivered
SH017,1017,Royal Mail,RM567890124,2024-01-16,2024-01-23,,7.00,in_transit
SH019,1019,FedEx,FX678901235,2024-01-16,2024-01-19,2024-01-19,10.50,delivered
SH020,1020,USPS,US789012346,2024-01-16,2024-01-22,2024-01-21,3.00,delivered
SH021,1021,FedEx,FX890123457,2024-01-17,2024-01-20,2024-01-19,14.00,delivered
SH022,1022,UPS,UP901234568,2024-01-17,2024-01-21,2024-01-20,6.50,delivered
SH023,1023,USPS,US012345679,2024-01-17,2024-01-23,,4.00,in_transit
SH024,1024,FedEx,FX123456790,2024-01-17,2024-01-20,2024-01-20,8.00,delivered
SH025,1025,FedEx,FX234567891,2024-01-17,2024-01-20,2024-01-19,17.50,delivered
SH026,1026,DHL,DH345678902,2024-01-17,2024-01-22,,13.00,in_transit
SH027,1027,USPS,US456789013,2024-01-17,2024-01-23,2024-01-22,3.50,delivered
SH028,1028,UPS,UP567890124,2024-01-17,2024-01-21,2024-01-21,9.50,delivered
SH030,1030,FedEx,FX678901246,2024-01-17,2024-01-20,2024-01-20,13.50,delivered
SH031,1031,USPS,US789012357,2024-01-18,2024-01-24,2024-01-23,3.00,delivered
SH032,1032,FedEx,FX890123468,2024-01-18,2024-01-21,2024-01-21,9.00,delivered
SH033,1033,FedEx,FX901234579,2024-01-18,2024-01-21,2024-01-20,16.50,delivered
SH034,1034,UPS,UP012345680,2024-01-18,2024-01-22,,5.00,in_transit
SH035,1035,FedEx,FX123456791,2024-01-18,2024-01-21,2024-01-21,11.00,delivered
SH036,1036,Royal Mail,RM234567802,2024-01-18,2024-01-25,,8.00,in_transit
SH037,1037,FedEx,FX345678903,2024-01-18,2024-01-21,2024-01-20,15.00,delivered
SH038,1038,USPS,US456789014,2024-01-18,2024-01-24,2024-01-23,3.50,delivered
SH039,1039,UPS,UP567890125,2024-01-18,2024-01-22,2024-01-21,8.50,delivered
SH041,1041,FedEx,FX678901247,2024-01-19,2024-01-22,2024-01-22,14.00,delivered
SH042,1042,UPS,UP789012358,2024-01-19,2024-01-23,2024-01-22,9.00,delivered
SH043,1043,USPS,US890123469,2024-01-19,2024-01-25,,4.00,in_transit
SH044,1044,FedEx,FX901234580,2024-01-19,2024-01-22,2024-01-21,17.00,delivered
SH045,1045,USPS,US012345691,2024-01-19,2024-01-26,2024-01-25,3.50,delivered
SH046,1046,DHL,DH123456702,2024-01-19,2024-01-24,,14.00,in_transit
SH047,1047,UPS,UP234567803,2024-01-19,2024-01-23,2024-01-22,5.50,delivered
SH049,1049,FedEx,FX345678914,2024-01-19,2024-01-22,2024-01-22,10.00,delivered
SH050,1050,USPS,US456789015,2024-01-19,2024-01-26,,3.00,in_transit
SH099,9999,UPS,UP999999999,2024-01-19,2024-01-23,,6.00,in_transit
