order_id,customer_id,order_date,order_amount,status,currency,product_category
1001,C001,2024-01-15,120.50,completed,USD,electronics
1002,C002,2024-01-15,45.00,pending,USD,clothing
1003,C003,2024-01-15,310.00,completed,USD,electronics
1004,C001,2024-01-15,89.99,completed,USD,books
1005,C004,2024-01-15,560.00,cancelled,USD,furniture
1006,C005,2024-01-15,22.50,completed,USD,clothing
1007,C006,2024-01-15,199.00,completed,USD,electronics
1008,C002,2024-01-15,75.00,pending,USD,books
1009,C007,2024-01-15,430.00,completed,USD,furniture
1010,C008,2024-01-15,15.99,completed,USD,clothing
1011,C009,2024-01-16,88.00,completed,USD,electronics
1012,C010,2024-01-16,240.00,completed,EUR,furniture
1013,C003,2024-01-16,55.00,completed,USD,books
1014,C011,2024-01-16,390.00,pending,USD,electronics
1015,C012,2024-01-16,12.00,completed,USD,clothing
1016,C001,2024-01-16,670.00,completed,USD,furniture
1017,C013,2024-01-16,33.00,completed,GBP,books
1018,C014,2024-01-16,145.00,cancelled,USD,electronics
1019,C005,2024-01-16,290.00,completed,USD,electronics
1020,C015,2024-01-16,60.00,completed,USD,clothing
1021,C016,2024-01-17,510.00,completed,USD,furniture
1022,C017,2024-01-17,77.50,completed,USD,books
1023,C018,2024-01-17,199.00,pending,USD,electronics
1024,C019,2024-01-17,44.00,completed,USD,clothing
1025,C020,2024-01-17,830.00,completed,USD,furniture
1026,C006,2024-01-17,120.00,completed,EUR,electronics
1027,C021,2024-01-17,36.00,completed,USD,books
1028,C022,2024-01-17,250.00,completed,USD,electronics
1029,C009,2024-01-17,95.00,cancelled,USD,clothing
1030,C023,2024-01-17,410.00,completed,USD,furniture
1031,C024,2024-01-18,65.00,completed,USD,books
1032,C025,2024-01-18,185.00,completed,USD,electronics
1033,C010,2024-01-18,720.00,completed,USD,furniture
1034,C026,2024-01-18,28.00,pending,USD,clothing
1035,C027,2024-01-18,340.00,completed,USD,electronics
1036,C028,2024-01-18,110.00,completed,GBP,books
1037,C029,2024-01-18,590.00,completed,USD,furniture
1038,C030,2024-01-18,42.00,completed,USD,clothing
1039,C031,2024-01-18,275.00,completed,USD,electronics
1040,C032,2024-01-18,18.50,completed,USD,books
1041,C001,2024-01-19,450.00,completed,USD,furniture
1042,C033,2024-01-19,130.00,completed,USD,electronics
1043,C034,2024-01-19,55.00,pending,USD,clothing
1044,C035,2024-01-19,680.00,completed,USD,furniture
1045,C003,2024-01-19,92.00,completed,USD,books
1046,C036,2024-01-19,215.00,completed,EUR,electronics
1047,C037,2024-01-19,38.00,completed,USD,clothing
1048,C038,2024-01-19,310.00,cancelled,USD,furniture
1049,C039,2024-01-19,155.00,completed,USD,electronics
1050,C040,2024-01-19,48.00,completed,USD,books
