payment_id,order_id,payment_date,payment_method,amount,currency,transaction_fee,status,gateway_reference
PAY001,1001,2024-01-15,credit_card,120.50,USD,2.41,succeeded,GW-TXN-001
PAY002,1002,2024-01-15,paypal,45.00,USD,1.35,pending,GW-TXN-002
PAY003,1003,2024-01-15,credit_card,310.00,USD,6.20,succeeded,GW-TXN-003
PAY004,1004,2024-01-15,debit_card,89.99,USD,1.80,succeeded,GW-TXN-004
PAY006,1006,2024-01-15,credit_card,22.50,USD,0.68,succeeded,GW-TXN-006
PAY007,1007,2024-01-15,credit_card,199.00,USD,3.98,succeeded,GW-TXN-007
PAY008,1008,2024-01-15,paypal,75.00,USD,2.25,pending,GW-TXN-008
PAY009,1009,2024-01-15,bank_transfer,430.00,USD,4.30,succeeded,GW-TXN-009
PAY010,1010,2024-01-15,debit_card,15.99,USD,0.32,succeeded,GW-TXN-010
PAY011,1011,2024-01-16,credit_card,88.00,USD,1.76,succeeded,GW-TXN-011
PAY012,1012,2024-01-16,bank_transfer,240.00,EUR,2.40,succeeded,GW-TXN-012
PAY013,1013,2024-01-16,paypal,55.00,USD,1.65,succeeded,GW-TXN-013
PAY014,1014,2024-01-16,credit_card,390.00,USD,7.80,pending,GW-TXN-014
PAY015,1015,2024-01-16,debit_card,12.00,USD,0.24,succeeded,GW-TXN-015
PAY016,1016,2024-01-16,credit_card,670.00,USD,13.40,succeeded,GW-TXN-016
PAY017,1017,2024-01-16,credit_card,33.00,GBP,0.99,succeeded,GW-TXN-017
PAY019,1019,2024-01-16,credit_card,290.00,USD,5.80,succeeded,GW-TXN-019
PAY020,1020,2024-01-16,paypal,60.00,USD,1.80,succeeded,GW-TXN-020
PAY021,1021,2024-01-17,bank_transfer,510.00,USD,5.10,succeeded,GW-TXN-021
PAY022,1022,2024-01-17,debit_card,77.50,USD,1.55,succeeded,GW-TXN-022
PAY023,1023,2024-01-17,credit_card,199.00,USD,3.98,pending,GW-TXN-023
PAY024,1024,2024-01-17,paypal,44.00,USD,1.32,succeeded,GW-TXN-024
PAY025,1025,2024-01-17,bank_transfer,830.00,USD,8.30,succeeded,GW-TXN-025
PAY026,1026,2024-01-17,credit_card,120.00,EUR,3.60,succeeded,GW-TXN-026
PAY027,1027,2024-01-17,debit_card,36.00,USD,0.72,succeeded,GW-TXN-027
PAY028,1028,2024-01-17,credit_card,250.00,USD,5.00,succeeded,GW-TXN-028
PAY030,1030,2024-01-17,bank_transfer,410.00,USD,4.10,succeeded,GW-TXN-030
PAY031,1031,2024-01-18,paypal,65.00,USD,1.95,succeeded,GW-TXN-031
PAY032,1032,2024-01-18,credit_card,185.00,USD,3.70,succeeded,GW-TXN-032
PAY033,1033,2024-01-18,bank_transfer,720.00,USD,7.20,succeeded,GW-TXN-033
PAY035,1035,2024-01-18,credit_card,340.00,USD,6.80,succeeded,GW-TXN-035
PAY036,1036,2024-01-18,debit_card,110.00,GBP,2.20,succeeded,GW-TXN-036
PAY037,1037,2024-01-18,bank_transfer,590.00,USD,5.90,succeeded,GW-TXN-037
PAY038,1038,2024-01-18,paypal,42.00,USD,1.26,succeeded,GW-TXN-038
PAY039,1039,2024-01-18,credit_card,275.00,USD,5.50,succeeded,GW-TXN-039
PAY040,1040,2024-01-18,debit_card,18.50,USD,0.37,succeeded,GW-TXN-040
PAY041,1041,2024-01-19,bank_transfer,450.00,USD,4.50,succeeded,GW-TXN-041
PAY042,1042,2024-01-19,credit_card,130.00,USD,2.60,succeeded,GW-TXN-042
PAY044,1044,2024-01-19,bank_transfer,680.00,USD,6.80,succeeded,GW-TXN-044
PAY045,1045,2024-01-19,paypal,92.00,USD,2.76,succeeded,GW-TXN-045
PAY046,1046,2024-01-19,credit_card,215.00,EUR,6.45,succeeded,GW-TXN-046
PAY047,1047,2024-01-19,debit_card,38.00,USD,0.76,succeeded,GW-TXN-047
PAY049,1049,2024-01-19,credit_card,155.00,USD,3.10,succeeded,GW-TXN-049
PAY050,1050,2024-01-19,paypal,48.00,USD,1.44,succeeded,GW-TXN-050
